Date,Close,High,Low,Open,Volume,SMA20,SMA50,EMA20,RSI,MACD,MACD_SIGNAL,Returns,Raw_Close
2015-03-16,0.003666003219805772,0.0025469061181177255,0.0033567668633952136,0.003246410433483185,0.2178996334158832,0.004418666074600647,0.0044310724642714905,0.0029655596575360044,0.21060969624823161,0.44936363158850906,0.44680702413447443,0.5240393497034675,35.51988983154297
2015-03-17,0.004070108762046609,0.0030845730435970914,0.0029805731582042555,0.002959099088439887,0.1897301674862971,0.004139717239819429,0.004146874508251686,0.0027002655683775467,0.23589261553169721,0.44920710962809113,0.4448830079129055,0.5206492052942656,35.6395378112793
2015-03-18,0.0063793918825510165,0.005914454693918228,0.003501458374923175,0.003131487796235538,0.2877055433621671,0.003986889628609908,0.0039364036446201955,0.002687486708996517,0.3660769674774084,0.4522135716234953,0.44404255173388024,0.5752710237340989,36.323272705078125
2015-03-19,0.005773149823421406,0.005235221508647414,0.00607682452630412,0.005515923314202059,0.20698896335332523,0.0038073529807134965,0.0037538851526234818,0.002616266552264157,0.3386447620819187,0.45408088283868886,0.44380418409647054,0.4919499824183293,36.143775939941406
2015-03-20,0.007476255304617999,0.006338884762517483,0.006858151359003306,0.006377815658753602,0.5045238123183218,0.0036619446935308164,0.003572213645299943,0.002719426401419034,0.4240021355660231,0.45787247057017477,0.4444947243768363,0.5571976780181511,36.64803314208984
2015-03-23,0.007418496492379356,0.006763344187460024,0.0076973014726491595,0.007297114648014469,0.1472635297707773,0.0034705356702145196,0.003308195809856085,0.0028070776440549394,0.42107693583172173,0.460964473837392,0.4457657947566817,0.5074045424894206,36.63093185424805
2015-03-24,0.007534014116856683,0.006876581394691772,0.007610544161293309,0.007009869900002019,0.14152963775855523,0.003293967281738641,0.0030704495186414382,0.002897748867257771,0.427048465181689,0.463686079750653,0.44741520209127145,0.5122406633694282,36.66513442993164
2015-03-25,0.003377273578434259,0.006197377061451889,0.0038197008729558696,0.007412030917274118,0.28203346596088463,0.00291857451949315,0.0027813753661862783,0.0025707332660965254,0.2417419200681074,0.4608361166931775,0.44807234437845594,0.39309223049133235,35.43440246582031
2015-03-26,0.0026556942703283987,0.0024620184696701186,0.0023150238470226042,0.0025281922088504633,0.2352867532853683,0.002495700202715029,0.0024915993268123104,0.0022038537085370957,0.21646325273211992,0.4578750553262854,0.4479098533470563,0.488193617159888,35.22075653076172
2015-03-27,0.0019629235065378725,0.00195264615093943,0.0020546031775219298,0.0022409016306626367,0.2110757698462068,0.0020683761458550887,0.0022112685880193717,0.0018037417180634396,0.1924946172402225,0.45489609943456344,0.4470874966456762,0.48890367486789416,35.01564025878906
2015-03-30,0.0019339990065432716,0.00226388157008027,0.002286044163385126,0.0021833901144174134,0.21614848026040379,0.0016351162324163004,0.001958973900157618,0.001438889264410964,0.19146429146434846,0.4527529001797955,0.44593149254848985,0.5081714308918654,35.007076263427734
2015-03-31,0.0010680548777516619,0.0008206728318336243,0.001215395069558825,0.0012640966183507102,0.21487697718727866,0.0012463682895651057,0.001643307701039931,0.0010235698863440557,0.16021471938729875,0.45026027161792975,0.44442735676770967,0.48372268221475206,34.75068664550781
2015-04-01,0.0012411895908596565,5.654295939862275e-05,0.0005497720244116017,0.0007469107411099407,0.2303548862885021,0.0008991640578809718,0.0013222970232704134,0.0006648423651364754,0.17247215158921675,0.44879924698615936,0.4428844792759615,0.5141104915754036,34.80194854736328
2015-04-02,0.0,0.0,0.0,0.0009193336705206057,0.23522337374756946,0.00048074080570914557,0.0010034909731176378,0.0002181378933500261,0.12722495923663513,0.4464249868065014,0.4410983557581803,0.47254843542531116,34.43445587158203
2015-04-06,0.0036370916037755247,0.002943047315259767,0.0001736192882200588,0.0,0.24880850381255304,0.0003605541141917662,0.0006882029400509249,0.00017189119371348316,0.3487680426678645,0.44935740891623893,0.4403510055175248,0.6170186731831644,35.511329650878906
2015-04-07,0.0035793714434299573,0.0033109462515428373,0.0034435601254166337,0.003648587274834969,0.16732041486211036,0.00016469799984268618,0.0003687296011499197,0.00012436888628943044,0.34621450317951846,0.45187336196538974,0.4403378788658097,0.5073540707313793,35.494239807128906
2015-04-08,0.0032618590256718455,0.002688385667892923,0.002662263615676508,0.003217663430205714,0.13558369815690738,7.418926669497394e-05,5.2790639710253995e-05,5.012713688223869e-05,0.33146081788816645,0.4537150802258258,0.44075542657910727,0.49986913765013163,35.400230407714844
2015-04-09,0.0034350581586016504,0.002490295244732779,0.003269945874943614,0.0026143582092326284,0.1431775057413254,0.0,0.0,0.0,0.3416505069341948,0.45561061949645226,0.4415300227723269,0.5140188771516097,35.45151138305664
