Date,Close,High,Low,Open,Volume
2015-01-02,26.244781494140625,26.55453482936228,26.162013603133126,26.395939382391216,26480000
2015-01-05,25.744714736938477,26.16746641234832,25.659967402967474,26.12583574501147,41182000
2015-01-06,25.10934829711914,25.831443710375485,25.055326743278943,25.79625615665274,54456000
2015-01-07,25.035503387451172,25.349716612643217,24.961163720980398,25.322955391440964,46918000
2015-01-08,25.12273406982422,25.151973850462305,24.533457771680816,24.855106702207085,73054000
2015-01-09,24.815950393676758,25.20648840777159,24.71336161380152,25.18567307381611,42000000
2015-01-12,24.634559631347656,24.79414385487283,24.32976151581034,24.742600854209794,57138000
2015-01-13,24.869478225708008,25.206490036792026,24.644474093088196,24.90763967375932,60958000
2015-01-14,25.07416343688965,25.18964034288116,24.68907971722886,24.801085509936147,52800000
2015-01-15,24.97900390625,25.26348011616419,24.87988246536749,25.2208587851593,51068000
2015-01-16,25.298669815063477,25.31799725789734,24.933407046507735,24.936380935540083,49658000
2015-01-20,25.272899627685547,25.553908534036548,25.244650515231655,25.413156414301586,46796000
2015-01-21,25.790803909301758,25.86316223485655,25.255549299060327,25.317499959102115,46356000
2015-01-22,26.628873825073242,26.70519671220756,25.86613839622553,25.920158060681533,56068000
2015-01-23,26.85933494567871,27.03081474965578,26.552060121963816,26.665058472649633,45966000
2015-01-26,26.60013198852539,26.837031674172664,26.369675414714727,26.837031674172664,30932000
2015-01-27,25.830455780029297,26.40486259510123,25.814100334107508,26.33646881268687,39148000
2015-01-28,25.396305084228516,26.05347788728196,25.392340528778753,26.019280996974253,35822000
2015-01-29,25.435955047607422,25.533093275569083,24.952738682816666,25.419599601712203,79018000
2015-01-30,26.641267776489258,26.916328914102955,25.681280017677523,25.721920021898733,121108000
2015-02-02,26.376115798950195,26.589226238310506,25.856721255967102,26.481183128814905,75378000
2015-02-03,26.430633544921875,26.636308323051313,26.108984652545644,26.264108986993968,47062000
2015-02-04,26.07379722595215,26.60161623215957,26.020766335374578,26.422702674265885,33896000
2015-02-05,26.2586612701416,26.301282607769842,26.051001356029268,26.164495035906885,33176000
2015-02-06,26.459381103515625,26.773594364727582,26.200180071467173,26.317142975083556,42938000
2015-02-09,26.231401443481445,26.45937945754581,26.145661549000884,26.319618003565182,30314000
2015-02-10,26.770620346069336,26.81225101760469,26.22595050289727,26.373641076451772,47430000
2015-02-11,26.66356658935547,26.859330923142902,26.564445144445028,26.749306478503332,38306000
2015-02-12,27.060546875,27.176021870682565,26.614005998753566,26.745836438822085,48590000
2015-02-13,27.315784454345703,27.384178233198636,27.08978778427378,27.134887673552218,47382000
2015-02-17,27.010986328125,27.406974888399592,26.924255771854156,27.315784443687487,39174000
2015-02-18,26.894023895263672,27.136871347537287,26.74038744742315,26.952010008323782,31164000
2015-02-19,27.082353591918945,27.102673592025468,26.7998587039475,26.88510325966048,30834000
2015-02-20,26.851896286010742,27.138355721258126,26.66852284767661,27.138355721258126,38234000
2015-02-23,26.5148868560791,26.72799731289808,26.366205625657223,26.71312975703122,32906000
2015-02-24,26.695785522460938,26.732954414742117,26.316645805931934,26.3439042539945,28406000
2015-02-25,27.1259708404541,27.236985964571776,26.664065116521776,26.68537767602754,40836000
2015-02-26,27.718713760375977,27.760344430858236,27.014953136685282,27.047168696404526,54032000
2015-02-27,27.884244918823242,28.22076138546092,27.60670523355572,27.662212792492337,68328000
2015-03-02,28.49829864501953,28.54637242506507,27.910014951143882,28.100824071990036,50406000
2015-03-03,28.685142517089844,28.7872359626418,28.27428450704446,28.56421317964636,50526000
2015-03-04,28.662343978881836,28.825892759461063,28.374396638494353,28.59494086554753,37964000
2015-03-05,28.815982818603516,28.903704043502977,28.657389256847527,28.72627837068374,35918000
2015-03-06,28.393232345581055,28.88288994111933,28.351601675638612,28.844233160541986,37592000
2015-03-09,28.452701568603516,28.519607455470886,28.202420350678093,28.295098682366618,23478000
2015-03-10,27.7464656829834,28.2376111419813,27.744977793088943,28.174172583647778,40080000
2015-03-11,27.54029655456543,27.96106505457944,27.526419663883804,27.74399002580918,40524000
2015-03-12,27.811885833740234,27.84509016723533,27.532364823496174,27.67856749489871,35602000
2015-03-13,27.40697479248047,27.96998324250421,27.274649014316687,27.715737462308397,35428000
2015-03-16,27.835180282592773,27.93975228801004,27.32371480780339,27.60174982430397,36856000
2015-03-17,27.635452270507812,27.785619505199847,27.476858700786728,27.66915193887057,28892000
2015-03-18,28.059194564819336,28.076540677379196,27.431756842115977,27.641398082816263,35324000
2015-03-19,27.935787200927734,28.098840651094154,27.858968976251962,27.977913202163844,24660000
2015-03-20,27.999223709106445,28.105778934942602,27.975931709633382,28.08645149089933,44320000
2015-03-23,28.020038604736328,28.231663053781187,27.90555426983146,28.051261605164928,30234000
2015-03-24,28.623193740844727,28.83828553670261,28.154844920307802,28.1771481453736,79156000
2015-03-25,28.1008243560791,28.748580169878046,28.1008243560791,28.624678829587207,53070000
2015-03-26,27.93429946899414,28.110241033898784,27.670143236250304,27.984356472002673,49842000
2015-03-27,27.632476806640625,27.955611706446064,27.601749138831863,27.844594701499393,34552000
2015-03-30,27.81039810180664,27.860950437875008,27.59481098237255,27.766290767931963,24788000
2015-03-31,27.491228103637695,27.87532109785129,27.489740213804282,27.651802989420585,34932000
2015-04-01,27.23301887512207,27.67955788637858,27.061539092238778,27.49767232716191,38902000
2015-04-02,26.827613830566406,27.159173179084938,26.784495272161728,27.129933400758688,47760000
2015-04-06,26.958454132080078,27.037255581958114,26.54957932668498,26.705199003367664,33718000
2015-04-07,27.003555297851562,27.266225549448393,26.94061395783773,27.009998409913532,27318000
2015-04-08,27.200801849365234,27.332634180458367,27.060049741729426,27.060049741729426,28386000
2015-04-09,27.16016387939453,27.227071661384997,26.859332198747314,27.219142550402573,32366000
2015-04-10,27.185937881469727,27.250862444137194,27.009502863217026,27.23698555383175,26104000
2015-04-13,27.19089126586914,27.42035716412749,27.074920929261612,27.112091708806137,29326000
2015-04-14,26.751787185668945,27.08830365798358,26.55156294738857,27.08830365798358,47206000
2015-04-15,26.81422996520996,26.920785183387757,26.384539870424003,26.661584193919968,46962000
2015-04-16,26.937143325805664,27.02189066329923,26.668525309347334,26.680914309092913,31722000
2015-04-17,26.402877807617188,26.75277581006501,26.217523030295755,26.629369809158458,49234000
2015-04-20,26.987197875976562,27.05014110196821,26.433111075629512,26.4529357435101,38508000
2015-04-21,26.90740394592285,27.147772828645195,26.872216391689502,27.07541449729053,29128000
2015-04-22,27.2176570892334,27.307856879106726,26.828111591340928,26.914346825369268,31806000
2015-04-23,27.628015518188477,27.811886195200906,27.262259277790157,27.278614723488467,78184000
2015-04-24,28.430898666381836,28.978047048922004,28.16773119738071,28.74759047259006,92168000
2015-04-27,28.05721092224121,28.523079288730045,27.867889686310665,28.386788946535724,48062000
2015-04-28,27.970481872558594,28.14196167233209,27.801480629128978,27.968003316214705,37178000
2015-04-29,27.822790145874023,28.04333438673213,27.70434124760871,27.779176252716862,33622000
2015-04-30,27.19733238220215,27.808909916896315,27.095734275523867,27.68253003195013,47240000
2015-05-01,27.315784454345703,27.31875834350248,26.953495559663324,27.283568897300867,36572000
2015-05-04,27.399045944213867,27.589853169169277,27.12894004951826,27.30735827526502,35260000
2015-05-05,26.91335105895996,27.387645701529028,26.880144837850857,27.266221039894248,28528000
2015-05-06,26.51885223388672,26.957464051403573,26.378100110151546,26.893530156141686,39034000
2015-05-07,26.863792419433594,27.02040465207109,26.43806872792071,26.559491512646844,31844000
2015-05-08,27.20625877380371,27.39706602174556,27.16066354567774,27.202294217955963,28226000
2015-05-11,27.049148559570312,27.425314354054915,27.04022878242837,27.183457565068586,21858000
2015-05-12,26.699745178222656,26.90938638890327,26.51488385470998,26.901950721227106,35282000
2015-05-13,26.737411499023438,26.95299859873402,26.712134388009595,26.785980607620715,24238000
2015-05-14,27.218643188476562,27.24292963379811,26.886588532513976,26.959442196725856,31736000
2015-05-15,27.084333419799805,27.28802874263808,26.88658776543782,27.277621076619027,33440000
2015-05-18,27.093257904052734,27.176023907751638,26.87419967122838,26.95201045322472,26706000
2015-05-19,27.222612380981445,27.426801172723838,27.115561817989402,27.159173819951512,47126000
2015-05-20,27.3826904296875,27.559125432010088,27.015446312308498,27.30388898382948,30840000
2015-05-21,27.595802307128906,27.63545164395248,27.223602948915225,27.26820750754953,34170000
2015-05-22,27.48230743408203,27.666673439218293,27.437702877393217,27.479333544891528,24266000
2015-05-26,27.119028091430664,27.423328968163663,26.90988221001843,27.386158191445507,37474000
2015-05-27,27.46892738342285,27.520470387519477,27.08879890982551,27.192875584275104,34844000
2015-05-28,27.465456008911133,27.543762120469044,27.29794267666079,27.44612856550457,23544000
2015-05-29,27.026351928710938,27.453563502232033,27.01247503928569,27.41688805564342,43446000
2015-06-01,27.21914291381836,27.286544139237684,26.940117229939606,27.19535368996906,33210000
2015-06-02,27.45406150817871,27.69393509781223,27.0873126783403,27.130926573887642,31842000
2015-06-03,27.520469665527344,27.65428333941674,27.36484999106376,27.511052664585776,26710000
2015-06-04,27.34205436706543,27.55367884618294,27.21468379117719,27.36633892640527,26866000
2015-06-05,27.235000610351562,27.423331174446826,27.12844538349845,27.357415949659583,24396000
2015-06-08,26.93515968322754,27.251851475545493,26.908891903617572,27.238965252296495,27336000
2015-06-09,26.869741439819336,27.002564454769487,26.705695421639497,26.93218744627871,30016000
2015-06-10,27.387149810791016,27.495192922627787,27.01594303551295,27.045182812367216,30316000
2015-06-11,27.260276794433594,27.497671796548282,27.217158237701096,27.480821018446964,25872000
2015-06-12,27.13290786743164,27.20129975954737,27.041715526969934,27.117047754564776,25468000
2015-06-15,26.9113712310791,26.963409568094153,26.723537884698743,26.897989674334596,27150000
2015-06-16,27.004047393798828,27.094247170684376,26.840498617881025,26.98471995051438,32526000
2015-06-17,27.08978843688965,27.17701432839109,26.852393428151306,27.031306990289004,24440000
2015-06-18,27.564577102661133,27.61760610131185,27.159171551779902,27.159171551779902,41192000
2015-06-19,27.63098907470703,27.650318409443564,27.3703020658244,27.58142929567892,59290000
2015-06-22,27.738039016723633,28.031934133758856,27.699877571793007,27.72465935133973,34752000
2015-06-23,27.921913146972656,27.996750046813936,27.612655103262146,27.743494899402396,31396000
2015-06-24,27.683029174804688,27.8847413072898,27.59580327754371,27.87681219588003,28924000
2015-06-25,27.65229606628418,27.909515709217438,27.628011513106536,27.768763611161987,26684000
2015-06-26,27.409950256347656,27.75390050141618,27.349982808657753,27.739528278542238,43676000
2015-06-29,26.82464027404785,27.302899524996054,26.774583270275233,27.097222845597965,37756000
2015-06-30,26.764673233032227,27.055097254192727,26.739891452036943,27.014952583941437,34510000
2015-07-01,26.926239013671875,27.050635681693773,26.750794678042162,26.944080458033753,30760000
2015-07-02,27.12646484375,27.15917384525205,26.939620273525954,26.99760638907242,28124000
2015-07-06,27.041217803955078,27.18791769060888,26.86676414017546,26.874197917536407,25614000
2015-07-07,27.259780883789062,27.307854664356682,26.75525574497219,27.13092432164705,33578000
2015-07-08,26.846939086914062,27.17304785403097,26.82215919920629,27.040226748436872,27662000
2015-07-09,26.993146896362305,27.202788136912982,26.99166089696587,27.191389803120202,29766000
2015-07-10,27.56110954284668,27.7187124396398,27.35741608895417,27.442163425290254,43436000
