Date,Close,High,Low,Open,Volume,SMA20,SMA50,EMA20,RSI,MACD,MACD_SIGNAL,Returns
2015-03-16,35.51988983154297,35.588261357863075,35.28058133869942,35.442969826752055,35273500,36.798460960388184,37.36343444824219,36.437740334785786,37.14806116872645,-0.4879535747830275,-0.3318623440089187,0.004350125919588388
2015-03-17,35.6395378112793,35.75064519492034,35.169472625505605,35.357496743641775,31673400,36.71812229156494,37.28259048461914,36.361721046832784,38.81730604814714,-0.4909617662842507,-0.3636822284639851,0.0033684783456191525
2015-03-18,36.323272705078125,36.60531379925635,35.32331593907712,35.40878115897341,44194800,36.67410717010498,37.22271919250488,36.358059299999006,47.4124196277801,-0.43318065110286597,-0.3775819129917613,0.019184729538844758
2015-03-19,36.143775939941406,36.40017473331406,36.08394966349737,36.11813377840286,33879100,36.622399711608885,37.17079933166504,36.3376513609459,45.60127322200947,-0.39729284524683806,-0.38152409944277665,-0.004941646271637401
2015-03-20,36.64803314208984,36.733498331046505,36.31471434075571,36.37454062508296,71904500,36.58052139282226,37.11912040710449,36.36721153057866,51.2367916924703,-0.32442241888914225,-0.3701037633320498,0.01395142563373386
2015-03-23,36.63093185424805,36.86169172891236,36.56255710903464,36.6480255405514,26246100,36.52539463043213,37.044016952514646,36.39232775188051,51.043662306459936,-0.2649972882214655,-0.34908246830993295,-0.00046663589763429325
2015-03-24,36.66513442993164,36.89589113999116,36.536933359642,36.562572269584464,25513300,36.47454204559326,36.97638679504394,36.41830934026633,51.437918392079844,-0.2126908147011406,-0.3218041375881745,0.0009337074967048498
2015-03-25,35.43440246582031,36.690760787814334,35.41730877827694,36.68221231389888,43469900,36.3664270401001,36.894155731201174,36.324603923652425,39.203492529862494,-0.2674641808499274,-0.3109361462405251,-0.033566819902523526
2015-03-26,35.22075653076172,35.562623957791644,34.972902809179494,35.229305009596644,37495600,36.24463710784912,36.811725006103515,36.21947560051998,37.534528375206044,-0.32437274252843196,-0.3136234654981065,-0.006029336469400737
2015-03-27,35.01564025878906,35.4087855353659,34.895987632029986,35.14383810447826,34401400,36.121565628051755,36.73198112487793,36.10482461559322,35.95205597109107,-0.38162521861593035,-0.3272238161216713,-0.0058237327126550165
2015-03-30,35.007076263427734,35.502783509191715,34.96434366713832,35.12672883715335,35049700,35.9967845916748,36.660212478637696,36.00027715348222,35.88403115140035,-0.4228153095552827,-0.3463421148083936,-0.0002445762892819836
2015-03-31,34.75068664550781,35.0669118542966,34.6481277351445,34.853245555871126,34887200,35.88482322692871,36.570416946411136,35.88126853367513,33.82085214944797,-0.470721073292772,-0.3712179065052693,-0.007323936908943618
2015-04-01,34.80194854736328,34.836132658448825,34.45153614151079,34.6993864332451,36865300,35.78482666015625,36.47910110473633,35.778476154026386,34.63012008676559,-0.4988004678303426,-0.396734418770284,0.0014751334953002626
2015-04-02,34.43445587158203,34.81905579864843,34.2891611167843,34.75068102926398,37487500,35.66431865692139,36.388412399291994,35.65047422236502,31.642781350447123,-0.5444313126975331,-0.4262737975557338,-0.01055954310377527
2015-04-06,35.511329650878906,35.7079022071696,34.34043952850032,34.47718579636725,39223700,35.629704284667966,36.29872444152832,35.637222358413965,46.26963885224268,-0.4880731681601347,-0.438633671676614,0.0312731463889806
2015-04-07,35.494239807128906,35.819013451123595,35.306215706111814,35.562614578617705,28809400,35.5732967376709,36.20784591674805,35.62360497257729,46.10104745393419,-0.43971913170593524,-0.4388507636824782,-0.00048125046057168053
2015-04-08,35.400230407714844,35.6309903989644,35.075459984731566,35.4344177975938,24753400,35.5472297668457,36.1179727935791,35.60233120449515,45.12697031715041,-0.4043231961841869,-0.43194525018282,-0.002648581852291998
2015-04-09,35.45151138305664,35.571163986974554,35.254938782293074,35.254938782293074,25723900,35.52586288452149,36.1029557800293,35.587967411977196,45.799720408715004,-0.36789287606228527,-0.419134775358713,0.0014486056941205305
2015-04-10,35.65662384033203,35.85319639356819,35.391676524080786,35.57970386208413,28022000,35.555776023864745,36.11699028015137,35.59450611943956,48.518455175076575,-0.3187958437503653,-0.3990669890370435,0.005785718274719853
2015-04-13,35.69081115722656,35.94721328120267,35.374586000688055,35.383134476974426,30276700,35.57201442718506,36.11779121398926,35.60367802780022,48.97784542299785,-0.27396931345456466,-0.3740474539205477,0.0009587928752767816
2015-04-14,35.596797943115234,35.921568290133195,35.37458322116802,35.724995734741846,24244400,35.57585983276367,36.144037322998045,35.60302278163975,47.71685841997008,-0.243226284707994,-0.347883220078037,-0.0026341013572702687
2015-04-15,36.11814880371094,36.28908249049772,35.62244469834706,35.69081621688844,27343600,35.59979038238525,36.16577507019043,35.65208240278939,54.68446921011411,-0.1747788142213338,-0.3132623389066964,0.014646004436377646
2015-04-16,36.032676696777344,36.18651665942427,35.74209046292074,35.85319782711869,22509700,35.58526058197022,36.18037208557129,35.68832947840729,53.42738287152005,-0.12597838502880165,-0.27580554813111746,-0.002366458685302608
2015-04-17,35.57115936279297,35.67372151878025,35.17801421237394,35.61389196431008,42387600,35.556629753112794,36.18166542053223,35.677170419777354,47.12761101822697,-0.12312497700458636,-0.24526943390581127,-0.012808300029113595
2015-04-20,36.67368698120117,36.89589851915161,35.62244907956048,35.665181691440644,46057700,35.55791244506836,36.19465599060059,35.77207675896057,59.4335350210381,-0.03153534614958886,-0.2025226163545668,0.0309949868983308
2015-04-21,36.44292831420898,36.87880944827984,36.34891460841765,36.750608347602665,26013800,35.5485122680664,36.203710021972654,35.835967383269946,56.47099670968271,0.022174190015491035,-0.15758325508055523,-0.00629221346385167
2015-04-22,36.74205780029297,36.861710404750646,36.36600303166717,36.46856194116105,25064300,35.55235843658447,36.219595413208005,35.92226170870071,59.302920392694624,0.08786379484650553,-0.1084938450951431,0.008208162733381652
2015-04-23,37.04117202758789,37.27193191149053,36.579652259782605,36.656572221083486,46309500,35.63269691467285,36.23739006042481,36.028824596213774,61.96745141166274,0.16218967665106732,-0.05435714074590101,0.008140922016962815
2015-04-24,40.91281127929688,41.14357121287296,39.01545725926264,39.02400247445221,130933700,35.91729965209961,36.33635108947754,36.49396618507883,80.11516733375362,0.5274226049630357,0.06199880839588633,0.10452259039820433
